time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,updated,place
2014-09-10T01:09:37.600Z,40.1215,141.8691,75.44,5.1,mb,95,2.127,1.01,us,2014-09-10T09:12:16.684Z,"49km E of Ichinohe, Japan"
2014-09-09T16:54:10.210Z,36.8399,140.5646,12.34,4.4,mb,123,0.678,1.08,us,2014-09-10T00:56:52.900Z,"17km WNW of Kitaibaraki, Japan"
2014-09-07T03:18:12.200Z,22.6189,141.9165,235.58,4.2,mb,134,13.384,0.61,us,2014-09-10T03:08:26.785Z,"246km SSE of Iwo Jima, Japan"
2014-09-06T23:33:08.000Z,24.0029,122.9273,23.84,4.8,mb,34,1.229,0.86,us,2014-09-07T07:35:44.370Z,"51km S of Yonakuni, Japan"
2014-09-06T08:31:57.530Z,42.0547,142.5489,65.1,4.8,mb,71,0.454,0.71,us,2014-09-06T16:34:38.747Z,"34km SSE of Shizunai, Japan"
2014-09-05T07:21:51.170Z,25.8498,125.2413,75.7,5.2,mb,79,3.496,1.3,us,2014-09-05T15:26:55.981Z,"116km N of Hirara, Japan"
2014-09-03T22:49:35.620Z,42.8085,142.669,42.02,4.9,mb,97,0.871,0.56,us,2014-09-04T06:52:17.638Z,"45km WSW of Obihiro, Japan"
2014-09-03T10:11:15.500Z,35.2732,141.1963,23.18,4.8,mb,120,2.438,1.4,us,2014-09-03T18:13:58.008Z,"60km SSE of Hasaki, Japan"
2014-09-03T07:24:20.090Z,36.8949,139.4494,15.1,5.2,mb,93,1.059,0.95,us,2014-09-03T11:02:30.270Z,"21km NW of Nikko, Japan"
2014-09-02T04:02:56.530Z,27.0172,143.6554,10,4.7,mb,104,1.314,1.01,us,2014-09-02T12:05:22.013Z,"142km E of Chichi-shima, Japan"
2014-08-31T18:00:46.060Z,27.476,142.6829,45.09,4.6,mb,162,0.583,0.99,us,2014-09-01T02:20:25.041Z,"63km NE of Chichi-shima, Japan"
2014-08-30T20:44:28.750Z,37.0298,141.3285,54.97,4.5,mb,143,2.554,0.78,us,2014-08-31T04:47:02.465Z,"39km E of Iwaki, Japan"
2014-08-30T20:42:29.310Z,37.6291,142.3365,10,4.5,mb,128,3.476,0.98,us,2014-08-31T04:45:30.064Z,"119km E of Namie, Japan"
2014-08-30T12:18:58.840Z,27.4398,142.7309,40.94,4.7,mb,135,0.595,0.69,us,2014-08-30T20:21:40.519Z,"64km NE of Chichi-shima, Japan"
2014-08-29T23:54:44.870Z,29.8099,138.8928,415.07,4.5,mb,65,3.387,0.58,us,2014-08-30T07:57:17.323Z,"Izu Islands, Japan region"
2014-08-29T23:33:45.920Z,42.5988,143.9806,66.42,4.6,mb,143,0.844,0.42,us,2014-08-30T07:36:16.518Z,"52km SW of Kushiro, Japan"
2014-08-29T13:33:39.520Z,36.8753,143.4209,29.38,4.5,mb,154,4.201,0.74,us,2014-08-30T15:28:45.465Z,"225km ESE of Namie, Japan"
2014-08-29T07:35:09.790Z,36.9078,141.1776,35,4.9,mb,126,2.412,0.97,us,2014-08-29T15:42:18.516Z,"30km ESE of Iwaki, Japan"
2014-08-28T19:14:35.830Z,32.0911,132.1014,22.28,5.8,mwb,38,1.459,1.7,us,2014-09-04T15:53:49.000Z,"56km E of Takanabe, Japan"
